URI,PrefLabel,Alt Label,Definition,IPCC source glossary (AR5),
climateProjection,Climate Projection,,"A climate projection is the simulated response of the climate system to a scenario of future emission or concentration of greenhouse gases (GHGs) and aerosols, generally derived using climate models. Climate projections are distinguished from climate predictions in order to emphasize that climate projections depend upon the emission/concentration/radiative forcing scenario used, which are based on assumptions concerning, for example, future socioeconomic and technological developments that may or may not be realised.",WGIII,
climateScenario,Climate Scenario,,"A plausible and often simplified representation of the future climate, based on an internally consistent set of climatological relationships that has been constructed for explicit use in investigating the potential consequences of anthropogenic climate change, often serving as input to impact models. Climate projections often serve as the raw material for constructing climate scenarios, but climate scenarios usually require additional information such as about the observed current climate.",WGIII,
climateSystem,Climate System,,"The climate system is the highly complex system consisting of five major components: the atmosphere, the hydrosphere, the cryosphere, the lithosphere and the biosphere, and the interactions between them.  The climate system evolves in time under the influence of its own internal dynamics and because of external forcings such as volcanic eruptions, solar variations and anthropogenic forcings such as the changing composition of the atmosphere and land use change.",WGIII,
controlRun,Control Run,,A model run carried out to provide a baseline for comparison with climate-change experiments. The control run uses constant values for the radiative forcing due to greenhouse gases and anthropogenic aerosols appropriate to pre-industrial conditions.,WGI (AR4),
cordex,CORDEX,,Coordinated Regional Climate Downscaling Experiment,,
cmip,CMIP,,Coupled Model Intercomparison Project,,
cmip5,CMIP5,,Fifth Coupled Model Intercomparison Project,,
cru,CRU,,Climatic Research Unit,,
csv,CSV,,Comma Separated Values. CSV files store tabular data in plain-text form.,,
data,Data,,"Data on the DDC is provided to facilitate the timely distribution of a consistent set of up-to-date scenarios of changes in climate and related environmental and socio-economic factors for use in climate impacts assessments. The climate data availabe on the DDC includes climate observation data, climate simulation data and synthesised climate data that combines both climate observation and climate simulation data.",WGII,
decc,DECC,,Department for Energy and Climate Change,,
ddc,DDC,,"IPCC Data Distribution Centre, this website!",,
doi,DOI,,Digital Object Identifier. The DOI system provides a technical and social infrastructure for the registration and use of persistent interoperable identifiers for use on digital networks. More about DOI.,,
dvd,DVD,,Digital Video Disk,,
dkrz,DKRZ,,Deutsches Klimarechensentrum / German Climate Computing Centre,,
drs,DRS,,Data Reference Syntax. DRS is a commmon naming system used in the CMIP5 archive to identify datasets. More about DRS.,,
emissionScenario,Emission Scenario,,"A plausible representation of the future development of emissions of substances that are potentially radiatively active (e.g., greenhouse gases, aerosols), based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socioeconomic development, technological change, energy and land use) and their key relationships. Concentration scenarios, derived from emission scenarios, are used as input to a climate model to compute climate projections. In IPCC (1992) a set of emission scenarios was presented which were used as a basis for the climate projections in IPCC (1996). These emission scenarios are referred to as the IS92 scenarios. In the IPCC Special Report on Emission Scenarios (Nakicenovic and Swart, 2000) a new set of emission scenarios, the so-called SRES scenarios, were published, some of which were used, among others, as a basis for the climate projections presented in Chapters 9 to 11 of IPCC (2001) and Chapters 10 and 11 of IPCC (2007). New emission scenarios for climate change, the four Representative Concentration Pathways (RCPs), were developed for, but independently of, the fifth IPCC assessment.",WGIII,
ensemble,Ensemble,,A collection of model simulations characterising a climate prediction or projection. Differences in initial conditions and model formulation result in different evolutions of the modelled system and may give information on uncertainty associated with model error and error in initial conditions in the case of climate forecasts and on uncertainty associated with model error and with internally generated climate variability in the case of climate projections.,WGI,
esm,Earth System Model,,"Earth System Model, see Climate Model.",,
equilibriumAndTransientClimateExperiment,Equilibrium and Transient Climate Experiment,,"An equilibrium climate experiment is a climate model experiment in which the model is allowed to fully adjust to a change in radiative forcing. Such experiments provide information on the difference between the initial and final states of the model, but not on the time-dependent response. If the forcing is allowed to evolve gradually according to a prescribed emission scenario, the time-dependent response of a climate model may be analysed. Such an experiment is called a transient climate experiment.",WGI,
exposure,Exposure,,"The presence of people, livelihoods, species or ecosystems, environmental services and resources, infrastructure, or economic, social, or cultural assets in places that could be adversely affected. See also Vulnerability.",WGII,
ecp,Extended Concentration Pathways (ECPs),,See Representative Concentration Pathway,,
extremeClimate,Extreme Climate Event,,See Extreme Weather Event,,
extremeWeather,Extreme Weather Event,,"An extreme weather event is an event that is rare at a particular place and time of year. Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations. By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense. When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).",WGII,
fao,FAO,,Food and Agriculture Organisation (UN),,
far,FAR,,IPCC First Assessment Report,,
fossilFuels,Fossil Fuels,,"Carbon-based fuels from fossil hydrocarbon deposits, including coal, peat, oil, and natural gas.",WGIII,
gcm,GCM,,General Circulation Model. See Climate Model.,,
gcm,GCM,,Global Climate Model. See Climate Model.,,
gdp,GDP,,Gross Domestic Product,,
geotiff,GEOTIFF,,Geostationary Earth Orbit Tagged Image File Format. More about GeoTIFF,,
ghcnersst,GHCN-ERSST,,"Global Historical Climatology Network - Extended Reconstructed Sea Surface Temperature. ERSST link, GHCN link.",,
gis,GIS,,"Geographical Information System. GIS is designed to capture, store, manipulate, analyze, manage and present geographical data.",,
globalMeanSurfaceTemperature,Global Mean Surface Temperature,,"An estimate of the global mean surface air temperature. However, for changes over time, only anomalies, as departures from a climatology, are used, most commonly based on the area-weighted global average of the sea surface temperature anomaly and land surface air temperature anomaly.",WGIII,
ghg,Greenhouse Gas (GHG),,"Greenhouse gases are those gaseous constituents of the atmosphere, both natural and anthropogenic, that absorb and emit radiation at specific wavelengths within the spectrum of thermal infrared radiation emitted by the Earth's surface, the atmosphere itself, and by clouds. This property causes the greenhouse effect. Water vapour (H2O), carbon dioxide (CO2), nitrous oxide (N2O), methane (CH4) and ozone (O3) are the primary greenhouse gases in the Earth's atmosphere. Moreover, there are a number of entirely human-made greenhouse gases in the atmosphere, such as the halocarbons and other chlorine- and bromine-containing substances, dealt with under the Montreal Protocol. Beside CO2, N2O and CH4, the Kyoto Protocol deals with the greenhouse gases sulphur hexafluoride (SF6), hydrofluorocarbons (HFCs) and perfluorocarbons (PFCs).",WGIII,
grib,GRIB,,GRIdded Binary. GRIB is a mathematically concise data format commonly used in meteorology to store historical and forecast weather data.,,
gzip,GZIP,,GNU zip. GZIP is used for file compression and decompression.,,
hadcrut3,HadCRUT3,,Hadley Centre/Climatic Research Unit gridded surface temperature data set version 3,,
html,HTML,,Hyper Text Mark-up Language,,
iam,IAM,,"Integrated Assessment Model.  Integrated assessment is a method of analysis that combines results and models from the physical, biological, economic, and social sciences, and the interactions among these components in a consistent framework to evaluate the status and the consequences of environmental change and the policy responses to it.",WGIII,
iamc,IAMC,,Integrated Assessment Modelling Consortium,,
iav,IAV,,Impacts Adaptation and Vulnerability.,,
igbp,IGBP,,International Geosphere-Biosphere Programme,,
ihdp,IHDP,,International Human Dimensions Programme on Global Environmental Change,,
illustrativeScenario,Illustrative Scenario,,See Scenario (Illustrative),,
impactAssessment,Impact Assessment,,"The practice of identifying and evaluating, in monetary and/or non-monetary terms, the effects of climate change on natural and human systems.",WGII,
impacts,"Impacts (Consequences, Outcomes)",,"Effects on natural and human systems. In the WGII AR5 report, the term impacts is used primarily to refer to the effects on natural and human systems of extreme weather and climate events and of climate change. Impacts generally refer to effects on lives, livelihoods, health, ecosystems, economies, societies, cultures, services, and infrastructure due to the interaction of climate changes or hazardous climate events occurring within a specific time period and the vulnerability of an exposed society or system. Impacts are also referred to as consequences and outcomes. The impacts of climate change on geophysical systems, including floods, droughts, and sea level rise, are a subset of impacts called physical impacts. ",WGII,
industrialRevolution,Industrial Revolution,,"A period of rapid industrial growth with far-reaching social and economic consequences, beginning in England during the second half of the 18th century and spreading to Europe and later to other countries including the United States.  The invention of the steam engine was an important trigger of this development.  The industrial revolution marks the beginning of a strong increase in the use of fossil fuels and emissions of, in particular, fossil carbon dioxide. In the AR4 and AR5, the term pre-industrial and industrial refer, somewhat arbitrarily, to the periods before and after 1750, respectively. ",WGIII,
ipcc,IPCC,,Intergovernmental Panel on Climate Change,,
ipccddc,IPCC-DDC,,Intergovernmental Panel on Climate Change-Data Distribution Centre,,
is92,IS92,,"Illustrative Scenarios 1992, see SRES scenarios",,
is92,IS92,,"IPCC Scenarios 1992, see SRES scenarios",,
jiic,JIIC,,Joint IAV IAM Committee. See also definitions for IAM and IAV.,,
kyotoProtocol,Kyoto Protocol,,"The Kyoto Protocol to the United Nations Framework Convention on Climate Change (UNFCCC) was adopted in 1997 in Kyoto, Japan, at the Third Session of the Conference of the Parties (COP) to the UNFCCC. It contains legally binding commitments, in addition to those included in the UNFCCC. Countries included in Annex B of the Protocol (most Organisation for Economic Cooperation and Development (OECD) countries and countries with economies in transition) agreed to reduce their anthropogenic greenhouse gas (GHG) emissions carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), and sulphur hexafluoride (SF6)) by at least 5% below 1990 levels in the commitment period 2008 to 2012. The Kyoto Protocol entered into force on 16 February 2005.",WGIII,
,,,,,
landUse,Land use and Land use Change,,"Land use refers to the total arrangements, activities and inputs undertaken in a certain land cover type (a set of human actions). The term land use is also used in the sense of the social and economic purposes for which land is managed (e.g., grazing, timber extraction and conservation).
Land use change refers to a change in the use or management of land by humans, which may lead to a change in land cover. Land cover and land use change may have an impact on the surface albedo, evapotranspiration, sources and sinks of greenhouse gases, or other properties of the climate system and may thus give rise to radiative forcing and/or other impacts on climate, locally or globally. See also the IPCC Report on Land Use, Land-Use Change, and Forestry (IPCC, 2000).",WGI,
lucc,LUCC,,Land Use and Land-Cover Change Programme ,,
markerScenario,Marker Scenario,,See Scenario (Marker).,,
MnD,M & D ,,Model and Data Group,,
measures,Measures,,"In climate policy, measures are technologies, processes, and practices that contribute to mitigation, for example renewable energy technologies, waste minimization processes and public transport commuting practices.",WGIII,
metadata,Metadata,,"Information about meteorological and climatological data concerning how and when they were measured, their quality, known problems and other characteristics.",WGI,
mitigation,Mitigation (of climate change),,"A human intervention to reduce the sources or enhance the sinks of greenhouse gases (GHGs). The AR5 WGIII report also assesses human interventions to reduce the sources of other substances which may contribute directly or indirectly to limiting climate change, including, for example, the reduction of particulate matter (PM) emissions that can directly alter the radiation balance (e.g., black carbon) or measures that control emissions of carbon monoxide, nitrogen oxides (NOx), Volatile Organic Compounds (VOCs) and other pollutants that can alter the concentration of tropospheric ozone (O3) which has an indirect effect on the climate. ",WGIII,
montrealProtocol,Montreal Protocol,,"The Montreal Protocol on Substances that Deplete the Ozone Layer was adapted in Montreal in 1987, and subsequently adjusted and amended in London (1990), Copenhagen (1992), Vienna (1995), Montreal (1997) and Beijing (1999).  It controls the consumption and production of chlorine- and bromine-containing chemicals that destroy stratospheric ozone, such as chlorofluorocarbons, methyl chloroform, carbon tetrachloride and many others.",WGI,
mpim,MPI-M,,Max Planck Institute for Meteorology,,
nasa,NASA,,National Aeronautics and Space Administration,,
ncar,NCAR,,National Centre for Atmospheric Research,,
ncas,NCAS,,National Centre for Atmospheric Science,,
ncsp,NCSP,,National Communications Support Programme (UN),,
nerc,NERC,,National Environment Research Council,,
oecd,OECD,,Organisation for Economic Co-operation and Development,,
ozone,Ozone,,"The triatomic form of oxygen (O3), a gaseous atmospheric constituent. In the troposphere, it is created both naturally and by photochemical reactions involving gases resulting from human activities (smog).  Tropospheric ozone acts as a greenhouse gas. In the stratosphere, ozone is created by the interaction between solar ultraviolet radiation and molecular oxygen (O2). Stratospheric ozone plays a dominant role in the stratospheric radiative balance. Its concentration is highest in the ozone layer.  ",WGI,
ozoneHole,Ozone Hole,,See Ozone Layer,,
ozoneLayer,Ozone Layer,,"The stratosphere contains a layer in which the concentration of ozone is greatest, the so-called ozone layer. The layer extends from about 12 to 40 km above the Earth's surface. The ozone concentration reaches a maximum between about 20 and 25 km. This layer has been depleted by human emissions of chlorine and bromine compounds. Every year, during the Southern Hemisphere spring, a very strong depletion of the ozone layer takes place over the Antarctic, caused by anthropogenic chlorine and bromine compounds in combination with the specific meteorological conditions of that region. This phenomenon is called the ozone hole.",WGI,
particulateMatter,Particulate Matter (PM),,"Very small solid particles emitted during the combustion of biomass and fossil fuels. PM may consist of a wide variety of substances. Of greatest concern for health are particulates of diameter less than or equal to 10 nanometers, usually designated as PM10.  See also Aerosol.",WGIII,
pcmdi,PCMDI,,Program for Climate Model Diagnosis and Intercomparison,,
pdf,PDF,,Portable Document Format,,
ph,pH,,"pH is a dimensionless measure of the acidity of water (or any solution) given by its concentration of hydrogen ions (H+). pH is measured on a logarithmic scale where pH = –log10(H+). Thus, a pH decrease of 1 unit corresponds to a 10-fold increase in the concentration of H+, or acidity. ",WGI,
phenology,Phenology,,"The relationship between biological phenomena that recur periodically (e.g., development stages, migration) and climate and seasonal changes.",WGII,
photochemSmog,Photochemical smog,,"A mix of oxidizing air pollutants produced by the reaction of sunlight with primary air pollutants, especially hydrocarbons. See also Volatile Organic Compounds (VOCs).",WGII,
policies,Policies (for mitigation of or adaptation to climate change),,"Policies are a course of action taken and/or mandated by a government, e.g., to enhance mitigation and adaptation. Examples of policies amied at mitigation are support mechanisms for renewable energy supplies, carbon or energy taxes, and fuel efficiency standards for automobiles.  See also Measures.",WGIII,
preIndustrial,Pre-Industrial,,Industrial Revolution,,
provia,PROVIA,,"Programme of Research on Climate Change Vulnerability, Impacts and Adaptation",,
radiativeForcingWG3,Radiative Forcing,,"Radiative forcing is the change in the net, downward minus upward, radiative flux (expressed in Watts per square metre; W m-2) at the tropopause or top of atmosphere due to a change in an external driver of climate change, such as, for example, a change in the concentration of carbon dioxide (CO2) or the output of the Sun.
",WGIII,
radiativeForcingWG1,Effective Radiative Forcing,,"Sometimes internal drivers are still treated as forcings even though they result from the alteration in climate, for example aerosol or greenhouse gas changes in paleoclimates. The traditional radiative forcing is computed with all tropospheric properties held fixed at their unperturbed values, and after allowing for stratospheric temperature, if perturbed, to readjust to radiative-dynamical equilibrium.  Radiative forcing is called instantaneous if no change in stratospheric temperature is accounted for. The radiative forcing once rapid adjustments are accounted for is termed the effective radiative forcing. For the purposes of the WG1 AR5 report, radiative forcing is further defined as the change relative to the year 1750 and, unless otherwise noted, refers to a global and annual average value.  Radiative forcing is not to be confused with cloud radiative forcing, which describes an unrelated measure of the impact of clouds on the radiative flux at the top of the atmosphere.",WGI,Radiative forcing defined twice - differently from two working groups…
referenceData,Reference Data,,See Baseline,,
re,Renewable Energy (RE),,"Any form of energy from solar, geophysical, or biological sources that is replenished by natural processes at a rate that equals or exceeds its rate of use. ",WGIII,
rcp,Representative Concentration Pathways (RCPs),,"Scenarios that include time series of emissons and concentrations of the full suite of greenhouse gases (GHGs) and aerosols and chemically active gases, as well as land use/land cover (Moss et al., 2008). The word representative signifies that each RCP provides only one of many possible scenarios that would lead to the specific radiative forcing characteristics.  The term pathway emphasises that not only the long-term concentration levels are of interest, but also the trajectory taken over time to reach that outcome (Moss et al., 2010). RCPs usually refer to the portion of the concentration pathway extending up to 2100, for which Integrated Assessment Models produced corresponding emission scenarios. Extended Concentration Pathways (ECPs) describe extensions of the RCPs from 2100 to 2500 that were calculated using simple rules generated by stakeholder consultations, and do not represent fully consistent scenarios.
Four RCPs produced from Integrated Assessment Models were selected from the published literature and are used in the Fifth IPCC Assessment as a basis for the climate predictions and projections presented in WGI AR5 Chapters 11 to 14:
RCP2.6: One pathway where radiative forcing peaks at approximately 3 W m-2 before 2100 and then declines (the corresponding ECP assuming constant emissions after 2100); 
RCP4.5 and RCP6.0: Two intermediate stabilisation pathways in which radiative forcing is stabilised at approximately 4.5 W m-2 and 6.0 W m-2 after 2100 (the corresponding ECPs assuming constant concentrations after 2150);
RCP8.5: One high pathway for which radiative forcing reaches greater than 8.5 W m-2 by 2100 and continues to rise for some amount of time (the corresponding ECP assuming constant emissions after 2100 and constant concentrations after 2250).",WGIII,Should we additionally definte the RCPs separately?
resolution,Resolution,,"In climate models, this term refers to the physical distance (meters or degrees) between each point on the grid used to compute the equations. Temporal resolution refers to the time step or the time elapsed between each model computation of the equations.",WGI,
sar,SAR,,IPCC Second Assessment Report,,REMOVE THIS AS WE DON’T WANT IT CONFUSED WITH SYNTHETIC APPETURE RADAR? 
scenario,Scenario,,"A plausible description of how the future may develop based on a coherent and internally consistent set of assumptions about key driving forces (e.g., rate of technological change, prices) and relationships. Note that scenarios are neither predictions nor forecasts, but are useful to provide a view of the implications of developments and actions. See also Climate scenario, Emission scenario, Representative Concentration Pathways and SRES scenarios.  ",WGI,
sedac,SEDAC,,Socio-Economic Data Applications Center,,
sensitivity,Sensitivity,,"The degree to which a system or species is affected, either adversely or beneficially, by climate variability or change. The effect may be direct (e.g., a change in crop yield in response to a change in the mean, range or variability of temperature) or indirect (e.g., damages caused by an increase in the frequency of coastal flooding due to sea-level rise).",WGII,
ssp,Shared socio-economic pathways (SSPs),,"Currently, the idea of shared socio-economic pathways (SSPs) is developed as a basis for new emissions and socio-economic scenarios. An SSP is one of a collection of pathways that describe alternative futures of socio-economic development in the absense of climate policy intervention. The combination of SSP-based socio-economic scenarios and Representative Concentration Pathway (RCP)-based climate projections should provide a useful integrative frame for climate impact and policy analysis.",WGIII,
socioEconomicScenario,Socio-Economic Scenario,,"A scenario that describes a possible future in terms of population, gross domestic product (GDP), and other socio-economic factors relevant to understanding the implications of climate change. concerning future conditions in terms of population, Gross Domestic Product and other socio-economic factors relevant to understanding the implications of climate change.  ",WGIII,
sres,SRES,,Special Report on Emission Scenarios (SRES),,
sresScenarios,SRES Scenarios,,"SRES scenarios are emission scenarios developed by Nakicenovic and Swart (2000) and used, among others, as a basis for some of the climate projections shown in Chapters 9 to 11 of IPCC (2001) and Chapters 10 and 11 of IPCC (2007).  The following terms are relevant for a better understanding of the structure and use of the set of SRES scenarios: 
Scenario Family, Illustrative Scenario, Marker Scenario, Storyline.",WGIII,
scenarioFamily,Scenario Family,,"Scenarios that have a similar demographic, societal, economic, and technical change storyline. Four scenario families comprise the SRES scenario set: A1, A2, B1, and B2. ",WGIII,
scenarioIllustrative,Illustrative scenario,,"A scenario that is illustrative for each of the six scenario groups reflected in the Summary for Policymakers of Nakicenovic and Swart (2000).  They include four revised marker scenarios for the scenario groups A1B, A2, B1, B2, and two additional scenarios for the A1F1 and A1T groups.  All scenario groups are equally sound. ",WGIII,
scenarioMarker,Marker Scenario,," A scenario that was originally posted in draft form on the SRES website to represent a given scenario family.  The choice of markers was based on which of the initial quantifications best reflected the storyline, and the features of the specific models.  Markers are no more likely than other scenarios, but are considered by the SRES writing team as illustrative of a particular storyline.  They are included in revised form in Nakicenovic and Swart (2000).  These scenarios received the closest scrutiny of the entire writing team and via the SRES open process.  Scenarios were also selected to illustrate the other two scenario groups.",WGIII,
storyline,Storyline,,"A narrative description of a scenario (or family of scenarios), highlighting the main scenario characteristics, relationships between key driving forces and the dynamics of their evolution. ",WGIII,
stratosphere,Stratosphere,,The highly stratified region of the atmosphere above the troposphere extending from about 10 km (ranging from 9 km at high latitudes to 16 km in the tropics on average) to about 50 km altitude. ,WGI,
stratosphericOzone,Stratospheric Ozone,,See Ozone,,
tar,TAR,,IPCC Third Assessment Report,,
temperatureAnomaly,Temperature Anomaly,,See Global Mean Surface Temperature,,
terrestrialBiosphere,Terrestrial Biosphere,,See Biosphere,,
tgica,TGICA,,Task Group on data and scenario support for Impacts and Climate Analysis (IPCC),,
tideGuage,Tide Guage,,A device at a coastal location or deep-sea location that continuously measures the level of the sea with respect to the adjacent land. Time averaging of the sea level so recorded gives the observed secular changes of the relative sea level. ,WGI,
transientClimateExperiment,Transient Climate Experiment,,See Equilibrium and Transient Climate Experiments,,
trend,Trend,,"In the AR4 and AR5 WGI reports, the word trend designates a change, generally monotonic in time, in the value of a variable. ",WGI,
tropopause,Tropopause,,The boundary between the troposphere and the stratosphere.,WGI,
,,,,,
troposphere,Troposphere,,"The lowest part of the atmosphere, from the surface to about 10 km in altitude at mid-latitudes (ranging from 9 km at high latitude to 16 km in the tropics on average), where clouds and weather phenomena occur. In the troposphere, temperatures generally decrease with height.  See also Stratosphere.",WGI,
tsu,TSU,,Technical Support Unit (IPCC) ,,
troposphericOzone,Tropospheric Ozone,,See Ozone,,
un,UN,,United Nations ,,
unep,UNEP,,United Nations Environment Programme ,,
unfccc,United Nations Framework Convention on Climate Change,,"The Convention was adopted on 9 May 1992 in New York and signed at the 1992 Earth Summit in Rio de Janeiro by more than 150 countries and the European Community. Its ultimate objective is the 'stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system'. It contains commitments for all Parties. Under the Convention, Parties included in Annex I (all OECD countries and countries with economies in transition) aim to return greenhouse gas (GHG) emissions not controlled by the Montreal Protocol to 1990 levels by the year 2000.  The convention entered in force in March 1994.  In 1997, the UNFCCC adopted the Kyoto Protocol.",WGI,
uv,UV,,Ultraviolet ,,
